設置場所名称,所在地,電話番号,営業時間,急速充電器基数,普通充電器基数,加盟・提携区分,施設カテゴリー,ネットワーク事業者,新規,新規設置利用開始日,備考
ファミリーマートようろう瑞穂店,岐阜県養老郡養老町瑞穂字旭４２５,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
名神高速道路　養老ＳＡ上り,岐阜県養老郡養老町橋爪,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
名神高速道路　養老ＳＡ下り,岐阜県養老郡養老町橋爪,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
カローラネッツ岐阜　養老店,岐阜県養老郡養老町大巻１２１３－１,0584-37-2877,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
岐阜トヨタ　養老店,岐阜県養老郡養老町瑞穂４０３－１,0584-35-1211,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
垂井町新庁舎,岐阜県不破郡垂井町宮代２９５７－１１,,24時間営業,1,0,提携,自治体施設,日本ユニシス,,,
カローラネッツ岐阜　ネッツ垂井店,岐阜県不破郡垂井町表佐４８００－２,0584-23-3668,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
カローラネッツ岐阜　カローラ垂井店,岐阜県不破郡垂井町表佐４９３４番地,0584-22-1241,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
道の駅星のふる里・ふじはし,岐阜県揖斐郡揖斐川町東横山２６４番地１,0585-52-2020,24時間営業,1,0,提携,道の駅,エネゲート,,,寒冷地用シャッター設置のため、シャッターの開閉は使用者が行ってください。
道の駅夢さんさん谷汲,岐阜県揖斐郡揖斐川町谷汲名礼１７６６－２７,0585-56-3750,24時間営業,1,0,提携,道の駅,エネゲート,,,寒冷地用シャッター設置のため、シャッターの開閉は使用者が行ってください。
道の駅夜叉ヶ池の里さかうち,岐阜県揖斐郡揖斐川町坂内広瀬３０６番地,0585-53-2262,24時間営業,1,0,提携,道の駅,エネゲート,,,寒冷地用シャッター設置のため、シャッターの開閉は使用者が行ってください。
ローソン揖斐川上南方店,岐阜県揖斐郡揖斐川町上南方６０２－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
道の駅パレットピアおおの,岐阜県揖斐郡大野町下磯３１３－２,0585-34-1001,24時間営業,2,0,提携,道の駅,日本ユニシス,,,
岐阜日産サンブリッジ北方店,岐阜県本巣郡北方町平成７丁目４６,058-323-5137,24時間営業,2,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
カローラネッツ岐阜　ネッツ北方店,岐阜県本巣郡北方町天狗堂１丁目１５番地,058-324-3113,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
カローラネッツ岐阜　カローラ北方店,岐阜県本巣郡北方町北方１１９－１,058-324-1183,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
道の駅半布里の郷とみか,岐阜県加茂郡富加町羽生２１７４番地１,0574-54-1171,24時間営業,1,0,提携,道の駅,エネゲート,,,
道の駅ロック・ガーデンひちそう,岐阜県加茂郡七宗町中麻生１１６０,0574-48-1799,24時間営業,1,0,提携,道の駅,エネゲート,,,
人道の丘公園,岐阜県加茂郡八百津町八百津１０７１,,24時間営業,1,0,提携,自治体施設,日本ユニシス,,,
道の駅　茶の里東白川,岐阜県加茂郡東白川村越原１０６１,,09:00 ～ 17:00,1,0,提携,道の駅,エネゲート,,,【定休日等】冬期間（１月～３月中旬）９：３０～１６：３０、１２／３０～１／１年末年始休業
御嵩駅前駐車場,岐阜県可児郡御嵩町中５３６－１１,,24時間営業,1,0,提携,自治体施設,エネゲート,,,
こぶしゴルフ倶楽部,岐阜県可児郡御嵩町前沢８０７５－６,0574-67-6171,08:00 ～ 17:00,0,2,加盟,ゴルフ場,日本ユニシス,,,【定休日等】1/1 その他不定期休場あり
美岳カントリークラブ,岐阜県可児郡御嵩町前沢８０７５－３,0574-67-3511,07:00 ～ 17:00,0,2,加盟,ゴルフ場,日本ユニシス,,,【定休日等】1月1日　　1、2月火曜日　
道の駅飛騨白山,岐阜県大野郡白川村平瀬高ダイ５１６番地６２,0576-95-2230,24時間営業,1,0,提携,道の駅,エネゲート,,,寒冷地用キュービクル設置のため、扉の開閉は使用者が行ってください。
東海北陸自動車道　飛騨白川ＰＡ上り,岐阜県大野郡白川村大字飯島字アワラ１４６０,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
東海北陸自動車道　飛騨白川ＰＡ下り,岐阜県大野郡白川村大字飯島字アワラ１５６０,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
トヨタユナイテッド静岡　レクサス静岡葵,静岡県静岡市葵区長沼５６０番地,054-267-3333,10:00 ～ 18:30,1,0,提携,自動車ディーラー,エネゲート,,,毎週月曜、第二・第四火曜日。GW、年末年始など不定期に停止することがあります。充電１回30分迄。詳細は店舗へお問合せください。
ファミリーマート　静岡竜南通り店,静岡県静岡市葵区竜南１－１６－２５,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート　静岡羽鳥六丁目店,静岡県静岡市葵区羽鳥６－１８－３,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ローソン新静岡インター店,静岡県静岡市葵区下１２４６－５,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
新東名高速道路　静岡ＳＡ（上）,静岡県静岡市葵区小瀬戸字谷川地１５１４,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,日本ユニシス,,,
新東名高速道路　静岡ＳＡ（下）,静岡県静岡市葵区飯間字サヲリ９３９,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,日本ユニシス,,,
静岡日産千代田店,静岡県静岡市葵区東千代田１丁目２－３,054-261-7725,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
静岡日産平和店,静岡県静岡市葵区平和３丁目２０－４８,054-261-7725,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス静岡昭府店,静岡県静岡市葵区昭府１丁目８－５０,054-271-5121,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス静岡新伝馬店,静岡県静岡市葵区新伝馬１丁目１１－７３,054-252-4132,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス静岡千代田店,静岡県静岡市葵区沓谷６丁目１９－１,054-262-4823,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
メルセデス・ベンツ静岡東,静岡県静岡市葵区長沼６９４－１,054-261-4100,10:00 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】月曜日定休日（月曜が祝祭日の場合は火曜日）、第二火曜日定休日および年末年始
ＭＡＲＫ　ＩＳ静岡,静岡県静岡市葵区柚木１９１,054-297-3016,08:00 ～ 01:00,0,30,提携,大規模小売店舗,JCN,,,【ご案内】満車時は駐車場管理室までお問い合わせください。　【定休日等】電気点検日（2月、曜日不定）
トヨタカローラ静岡　静岡店,静岡県静岡市葵区日出町２－７,054-254-8143,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタカローラ静岡　千代田店,静岡県静岡市葵区東千代田２丁目１－１２,054-262-5741,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ静岡　流通通り店,静岡県静岡市葵区東千代田３－７－６,054-263-0010,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【その他】詳細は店舗へお問合せください。
ネッツトヨタ静浜　沓谷店,静岡県静岡市葵区沓谷五丁目１０番１号,054-263-6211,09:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
静岡トヨタ　平和店,静岡県静岡市葵区平和１－６－１７,054-253-8866,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
静岡トヨタ　長沼店,静岡県静岡市葵区長沼８８３－８,054-262-2111,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　いろは店,静岡県静岡市葵区新伝馬１丁目４－６１,054-255-1680,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　長沼店,静岡県静岡市葵区長沼６１１,054-261-4111,09:30 ～ 19:00,1,1,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
東海三菱自動車販売（株）本社中吉田店,静岡県静岡市駿河区中吉田１４－３７,054-261-4334,24時間営業,2,0,提携,自動車ディーラー,エネゲート,,,1台は店舗営業時間のみ稼動（休業日：毎週月曜、第２火曜、ＧＷ、お盆、年末年始）
東海三菱自動車販売（株）ＳＢＳ通り中田店,静岡県静岡市駿河区中田４－１０－１９,054-281-1200,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,
静岡三菱自動車販売（株）静岡南店,静岡県静岡市駿河区南安倍３－８－９,054-284-0711,09:30 ～ 19:00,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】月曜定休日・GW・お盆・年末年始・その他メンテナンス日。２９年３月３１日はオープン準備のため、２９年４月１日から運用開始します。
道の駅宇津ノ谷峠,静岡県静岡市駿河区宇津ノ谷峠８２－２,0581-34-4755,24時間営業,1,0,提携,道の駅,エネゲート,,,
静岡トヨタ　レクサス静岡駿河,静岡県静岡市駿河区石田１丁目２－２４,054-285-0115,09:30 ～ 18:00,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】月曜日、第二火曜日・GW・年末年始など不定期に停止することがあります。充電時間1回30分迄。詳細は店舗へお問合せください。
ファミリーマート静岡中島店,静岡県静岡市駿河区中島９２５－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
静岡日産ＳＢＳ通り店,静岡県静岡市駿河区中村町２３０,054-261-7725,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
静岡日産静岡国吉田店,静岡県静岡市駿河区国吉田１丁目７－４８,054-261-7725,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス静岡丸子店,静岡県静岡市駿河区北丸子１丁目１－１８,054-259-3211,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス静岡池田店,静岡県静岡市駿河区池田６５－１,054-283-3232,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス静岡中吉田店,静岡県静岡市駿河区中吉田１４－２９,054-261-2346,24時間営業,2,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス静岡中村町店,静岡県静岡市駿河区中村町１３６－１,054-283-4823,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ＥｎｅＪｅｔ静岡丸子新田ＳＳ,静岡県静岡市駿河区丸子新田３２８－１,054-268-7100,24時間営業,1,0,提携,ガソリンスタンド,NEC,,,
静岡日産登呂店,静岡県静岡市駿河区富士見台１丁目５－５,054-287-2300,24時間営業,1,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
Ａｕｄｉ静岡,静岡県静岡市駿河区南安倍三丁目６－３０,054-282-1331,09:30 ～ 18:00,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎週月曜日は定休日　年末年始・GW・お盆など不定期に停止することがあります。詳細は店舗への問い合わせ、あるいは弊社のホームページをご確認ください。
メルセデス・ベンツ東名静岡,静岡県静岡市駿河区中野新田５７－２９,054-203-2000,24時間営業,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】店舗は毎週水曜日定休日ですが、充電設備は24時間年中無休でご利用いただけけます。
イトーヨーカドー静岡店,静岡県静岡市駿河区曲金３－１－５,054-282-7111,10:00 ～ 19:00,0,47,提携,大規模小売店舗,JCN,,,【利用時間・駐車料金等】店舗営業時間内は充電器が利用できます。充電器が設置されている４階駐車場への入場ができない場合は店舗にお問い合わせください。ご案内いたします。
ネッツトヨタ浜松　静岡店,静岡県静岡市駿河区手越原１６８番地,054-259-1271,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週月曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
ネッツトヨタ静浜　池田東店,静岡県静岡市駿河区聖一色９３－１,054-267-6166,09:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ静浜　南安倍店,静岡県静岡市駿河区南安倍３丁目９－９,054-286-4771,09:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
静岡トヨタ　静岡インター店,静岡県静岡市駿河区中村町３２０－１,054-281-7277,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　ＳＢＳ通り店,静岡県静岡市駿河区中村町１３２－１,054-286-2101,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ静岡　小黒店,静岡県静岡市駿河区小黒１丁目１１－１９,0542-84-0010,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,定休日は毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　小黒店,静岡県静岡市駿河区小黒２丁目２番６号,054-285-5111,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜日・毎月第１、第３火曜日。GW・お盆・年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　静岡インター店,静岡県静岡市駿河区中野新田１９０－１,054-282-1133,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜日・毎月第１、第３火曜日。GW・お盆・年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ニトリ　静岡インター通り店,静岡県静岡市駿河区緑が丘町１－１０,,10:00 ～ 21:00,0,3,加盟,大規模小売店舗,日本ユニシス,,,
ファミリーマート清水楠新田店,静岡県静岡市清水区楠新田字上屋敷２０９－２２１０－１－４他,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
新東名高速道路　清水ＰＡ上り,静岡県静岡市清水区小河内８８５－１５,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
新東名高速道路　清水ＰＡ下り,静岡県静岡市清水区小河内８８５－１５,,24時間営業,1,0,加盟,ＳＡ/ＰＡ,JCN,,,
静岡日産清水港店,静岡県静岡市清水区清開１丁目２－１０,054-261-7725,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス静岡清水七ツ新屋店,静岡県静岡市清水区七ツ新屋４４５,054-345-3239,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
イオン清水店,静岡県静岡市清水区上原１－６－１６,054-344-2500,09:30 ～ 21:00,1,1,提携,大規模小売店舗,NEC,,,
セルフ清水草薙ＳＳ,静岡県静岡市清水区長崎南町６－３８,054-344-5211,24時間営業,1,0,提携,ガソリンスタンド,NEC,,,
ホンダカーズ静岡　清水吉川店,静岡県静岡市清水区七ツ新屋５５５－３,054-344-6311,24時間営業,1,0,提携,自動車ディーラー,日本ユニシス,,,毎週水曜日は定休日。年末年始・ＧＷなど不定期に停止することがあります。詳細はHonda Carsのホームページをご確認ください
富嶽カントリークラブ,静岡県静岡市清水区宍原１７８３－１,050-3173-5349,06:30 ～ 17:00,0,2,提携,ゴルフ場,ENECHANGE,NEW,2023年04月20日,【定休日等】利用日時制限あり
エスパルスドリームプラザ,静岡県静岡市清水区入船町１０－２０,050-3173-5349,24時間営業,0,3,提携,大規模小売店舗,ENECHANGE,NEW,2023年04月20日,【定休日等】24時間・年中無休
ネッツトヨタ静岡　清水店,静岡県静岡市清水区松原町７－１３,054-354-0010,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【その他】詳細は店舗へお問合せください。
ネッツトヨタ静岡　草薙店,静岡県静岡市清水区草薙１９８２－６,054-346-0010,09:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜、火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
静岡トヨタ　清水店,静岡県静岡市清水区天神２－２－４,054-366-2121,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,【急速】24時間・365日利用可。充電1回30分迄【普通】営業時間（10時-19時）のみ利用可。月曜定休。年末年始など不定期に停止することがあります。充電1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　清水桜橋店,静岡県静岡市清水区春日１丁目４－１０,054-353-5201,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　清水東名店,静岡県静岡市清水区庵原町１３４－３,054-364-4111,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
浜松日産葵店,静岡県浜松市葵東２丁目１７－１,053-436-2532,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
ホテルルートイン浜松ディーラー通り,静岡県浜松市東区篠ケ瀬町１２２０－１,050-3138-4973,09:00 ～ 19:00,0,1,提携,宿泊施設,ENECHANGE,NEW,2023年05月08日,【定休日等】利用日時制限あり
四ツ池公園浜松球場,静岡県浜松市中区上島６－１９－１,,08:30 ～ 21:00,1,0,加盟,自治体施設,エネゲート,,,【定休日等】定休日：12月29日～1月3日
花川運動公園,静岡県浜松市中区西丘町７２４,,09:00 ～ 21:00,1,0,加盟,自治体施設,エネゲート,,,【定休日等】定休日：12月29日～1月2日　【ご注意】定期点検のため、1月23日(水)9：30～11：30はご利用いただけません。
静岡三菱自動車販売（株）浜松葵店,静岡県浜松市中区葵東２丁目２５－３８,053-437-4271,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,
はままつフルーツパーク時之栖,静岡県浜松市中区元城町都田町４２６３－１,053-457-2502,09:00 ～ 18:00,1,0,提携,自治体施設,エネゲート,,,
浜松日産伊場店,静岡県浜松市中区西伊場町４７－５,053-454-3232,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
浜松日産向宿店,静岡県浜松市中区向宿２丁目１０－１,053-462-0023,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
浜松日産森田店,静岡県浜松市中区森田町５３,053-455-1000,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
浜松日産領家店,静岡県浜松市中区領家２丁目１－８,053-464-3232,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
上島ＳＳ,静岡県浜松市中区上島６－１－３９,053-474-5665,07:00 ～ 23:00,1,0,提携,ガソリンスタンド,NEC,,,
コスモ石油セルフ和合,静岡県浜松市中区和合町９３６－２８１,,24時間営業,1,0,提携,ガソリンスタンド,e-Moblity Power,,,【定休日等】年中無休
フードワン泉店,静岡県浜松市中区泉４－１２－１,,24時間営業,1,0,加盟,大規模小売店舗,日本ユニシス,,,
ホンダカーズ静岡西　浜松葵東店,静岡県浜松市中区葵東１－４－４,053-471-7341,10:00 ～ 18:30,1,0,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎週水曜日は定休日　年末年始・ＧＷなど不定期に停止することがあります。詳細はHonda Carsのホームページをご確認ください
ネッツトヨタ浜松　浜松店,静岡県浜松市中区森田町１６番地,053-453-5711,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週月曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
ネッツトヨタ浜松　高台店,静岡県浜松市中区葵東２丁目１８番５号,053-436-2511,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日情報】毎週月曜。GW、年末年始など不定期に停止することがあります。充電１回１時間迄。詳細は店舗へお問合せください。
ネッツトヨタ静浜　葵町店,静岡県浜松市中区葵東２丁目１４－６,053-437-3411,09:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
静岡トヨタ　葵町店,静岡県浜松市中区葵東２丁目２５ー４５,053-437-0511,10:00 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　浜松幸店,静岡県浜松市中区幸５丁目３－３５,053-473-0511,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜日・毎月第１、第３火曜日。GW・お盆・年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
トヨタユナイテッド静岡　浜松葵店,静岡県浜松市中区葵東２丁目１２番２３号,053-437-5000,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週月曜日・毎月第１、第３火曜日。GW・お盆・年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
静岡三菱自動車販売（株）浜松店,静岡県浜松市東区篠ケ瀬町１１０８－１,053-421-1811,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,
静岡トヨタ　レクサス和田,静岡県浜松市東区宮竹町６３６,053-466-1000,09:30 ～ 18:00,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】月曜日、第二火曜日・GW・年末年始など不定期に停止することがあります。充電時間1回30分迄。詳細は店舗へお問合せください。
静岡トヨタ　Ｕ－ＣＡＲ有玉,静岡県浜松市東区有玉北町８０８,053-432-5057,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】急速は２４時間・年中無休利用可。充電１回３０分迄。詳細は店舗へお問合せください。
ファミリーマート浜松白鳥店,静岡県浜松市東区白鳥町１０１－２,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,
ファミリーマート　浜松有玉北店,静岡県浜松市東区有玉北町１７５４－１,,24時間営業,1,0,加盟,コンビニエンスストア,JCN,,,【駐車場閉鎖のため利用不可】毎日1:00～5:00
浜松日産Ｕｃａｒｓ浜松インター店,静岡県浜松市東区流通元町１４－１,053-421-4431,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
浜松日産有玉店,静岡県浜松市東区有玉南町２２５８－１,053-472-1211,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
浜松日産和田西店,静岡県浜松市東区和田町７６１,053-461-0166,24時間営業,3,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
浜松日産和田中央店,静岡県浜松市東区和田町５９７,053-465-5131,24時間営業,3,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
浜松日産和田東店,静岡県浜松市東区和田町６８５,053-461-2111,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
イオンモール浜松市野,静岡県浜松市東区天王町字諏訪１９８１－３,053-468-1500,09:00 ～ 20:00,1,1,提携,大規模小売店舗,NEC,,,
ＤＣＭ浜松インター店,静岡県浜松市東区松小池町１１２－１,053-421-7451,09:30 ～ 19:30,2,0,提携,大規模小売店舗,e-Moblity Power,,,【定休日等】元日
ホンダカーズ静岡西　浜松インター店,静岡県浜松市東区下石田町１７７８,053-421-5116,10:00 ～ 18:30,1,1,提携,自動車ディーラー,日本ユニシス,,,【定休日等】毎週火曜日、水曜日は定休日　年末年始・ＧＷなど不定期に停止することがあります。詳細はHonda Carsのホームページをご確認ください。
